codfpag,codtdoc,desfpag,pccodi,prcod,TipDocCb,EsPago,CodCCPreCa,CodFluEfe,EsEfectivo
2,00,DEPOSITO BCI ,10-10-100-0006,500-001,DP,0,,,0
3,00,DEPOSITO BANCO CHILE,1-01-01-02-01,500-001,DP,1,,,0
6,00,DEPOSITO BANCO BCI,1-01-01-02-02,500-001,DP,1,,,0
7,00,EFECTIVO,10-10-100-0006,500-001,EF,0,,,0
8,00,DEPOSITO BCI ,10-10-100-0006,,DP,0,,,0
9,00,TRANSFERENCIA BCI,10-10-100-0006,,TE,0,,,0
10,00,PAGO EN LINEA,10-10-200-0100,,00,0,,,0
11,00,TRANSF. BCO.ITAU,10-10-100-0003,,TE,0,,,0
12,00,AJUSTE CUENTA,40-20-400-0002,,00,0,,,0
13,00,DEPOSITO BCO.ITAU,10-10-100-0003,,DP,0,,,0
